column,type,description,unit,range,missing_value_policy
Landmark_45_Z,float,"Face/Iris landmark 45 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_46_X,float,Face/Iris landmark 46 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_46_Y,float,Face/Iris landmark 46 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_46_Z,float,"Face/Iris landmark 46 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_47_X,float,Face/Iris landmark 47 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_47_Y,float,Face/Iris landmark 47 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_47_Z,float,"Face/Iris landmark 47 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_48_X,float,Face/Iris landmark 48 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_48_Y,float,Face/Iris landmark 48 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_48_Z,float,"Face/Iris landmark 48 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
