column,type,description,unit,range,missing_value_policy
Landmark_292_X,float,Face/Iris landmark 292 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_292_Y,float,Face/Iris landmark 292 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_292_Z,float,"Face/Iris landmark 292 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_293_X,float,Face/Iris landmark 293 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_293_Y,float,Face/Iris landmark 293 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_293_Z,float,"Face/Iris landmark 293 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_294_X,float,Face/Iris landmark 294 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_294_Y,float,Face/Iris landmark 294 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_294_Z,float,"Face/Iris landmark 294 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_295_X,float,Face/Iris landmark 295 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_295_Y,float,Face/Iris landmark 295 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_295_Z,float,"Face/Iris landmark 295 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_296_X,float,Face/Iris landmark 296 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_296_Y,float,Face/Iris landmark 296 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_296_Z,float,"Face/Iris landmark 296 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_297_X,float,Face/Iris landmark 297 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_297_Y,float,Face/Iris landmark 297 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_297_Z,float,"Face/Iris landmark 297 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_298_X,float,Face/Iris landmark 298 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_298_Y,float,Face/Iris landmark 298 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_298_Z,float,"Face/Iris landmark 298 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_299_X,float,Face/Iris landmark 299 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_299_Y,float,Face/Iris landmark 299 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_299_Z,float,"Face/Iris landmark 299 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_300_X,float,Face/Iris landmark 300 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_300_Y,float,Face/Iris landmark 300 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_300_Z,float,"Face/Iris landmark 300 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_301_X,float,Face/Iris landmark 301 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_301_Y,float,Face/Iris landmark 301 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_301_Z,float,"Face/Iris landmark 301 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_302_X,float,Face/Iris landmark 302 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_302_Y,float,Face/Iris landmark 302 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_302_Z,float,"Face/Iris landmark 302 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_303_X,float,Face/Iris landmark 303 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_303_Y,float,Face/Iris landmark 303 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_303_Z,float,"Face/Iris landmark 303 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_304_X,float,Face/Iris landmark 304 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_304_Y,float,Face/Iris landmark 304 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_304_Z,float,"Face/Iris landmark 304 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_305_X,float,Face/Iris landmark 305 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_305_Y,float,Face/Iris landmark 305 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_305_Z,float,"Face/Iris landmark 305 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_306_X,float,Face/Iris landmark 306 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_306_Y,float,Face/Iris landmark 306 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_306_Z,float,"Face/Iris landmark 306 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_307_X,float,Face/Iris landmark 307 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_307_Y,float,Face/Iris landmark 307 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_307_Z,float,"Face/Iris landmark 307 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_308_X,float,Face/Iris landmark 308 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_308_Y,float,Face/Iris landmark 308 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_308_Z,float,"Face/Iris landmark 308 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_309_X,float,Face/Iris landmark 309 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_309_Y,float,Face/Iris landmark 309 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_309_Z,float,"Face/Iris landmark 309 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_310_X,float,Face/Iris landmark 310 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_310_Y,float,Face/Iris landmark 310 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_310_Z,float,"Face/Iris landmark 310 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_311_X,float,Face/Iris landmark 311 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_311_Y,float,Face/Iris landmark 311 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_311_Z,float,"Face/Iris landmark 311 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_312_X,float,Face/Iris landmark 312 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_312_Y,float,Face/Iris landmark 312 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_312_Z,float,"Face/Iris landmark 312 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_313_X,float,Face/Iris landmark 313 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_313_Y,float,Face/Iris landmark 313 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_313_Z,float,"Face/Iris landmark 313 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_314_X,float,Face/Iris landmark 314 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_314_Y,float,Face/Iris landmark 314 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_314_Z,float,"Face/Iris landmark 314 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_315_X,float,Face/Iris landmark 315 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_315_Y,float,Face/Iris landmark 315 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_315_Z,float,"Face/Iris landmark 315 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_316_X,float,Face/Iris landmark 316 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_316_Y,float,Face/Iris landmark 316 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_316_Z,float,"Face/Iris landmark 316 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_317_X,float,Face/Iris landmark 317 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_317_Y,float,Face/Iris landmark 317 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_317_Z,float,"Face/Iris landmark 317 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_318_X,float,Face/Iris landmark 318 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_318_Y,float,Face/Iris landmark 318 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_318_Z,float,"Face/Iris landmark 318 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_319_X,float,Face/Iris landmark 319 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_319_Y,float,Face/Iris landmark 319 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_319_Z,float,"Face/Iris landmark 319 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_320_X,float,Face/Iris landmark 320 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_320_Y,float,Face/Iris landmark 320 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_320_Z,float,"Face/Iris landmark 320 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_321_X,float,Face/Iris landmark 321 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_321_Y,float,Face/Iris landmark 321 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_321_Z,float,"Face/Iris landmark 321 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_322_X,float,Face/Iris landmark 322 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_322_Y,float,Face/Iris landmark 322 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_322_Z,float,"Face/Iris landmark 322 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_323_X,float,Face/Iris landmark 323 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_323_Y,float,Face/Iris landmark 323 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_323_Z,float,"Face/Iris landmark 323 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_324_X,float,Face/Iris landmark 324 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_324_Y,float,Face/Iris landmark 324 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_324_Z,float,"Face/Iris landmark 324 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_325_X,float,Face/Iris landmark 325 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_325_Y,float,Face/Iris landmark 325 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_325_Z,float,"Face/Iris landmark 325 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_326_X,float,Face/Iris landmark 326 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_326_Y,float,Face/Iris landmark 326 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_326_Z,float,"Face/Iris landmark 326 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_327_X,float,Face/Iris landmark 327 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_327_Y,float,Face/Iris landmark 327 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_327_Z,float,"Face/Iris landmark 327 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_328_X,float,Face/Iris landmark 328 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_328_Y,float,Face/Iris landmark 328 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_328_Z,float,"Face/Iris landmark 328 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_329_X,float,Face/Iris landmark 329 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_329_Y,float,Face/Iris landmark 329 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_329_Z,float,"Face/Iris landmark 329 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_330_X,float,Face/Iris landmark 330 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_330_Y,float,Face/Iris landmark 330 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_330_Z,float,"Face/Iris landmark 330 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_331_X,float,Face/Iris landmark 331 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_331_Y,float,Face/Iris landmark 331 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_331_Z,float,"Face/Iris landmark 331 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_332_X,float,Face/Iris landmark 332 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_332_Y,float,Face/Iris landmark 332 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_332_Z,float,"Face/Iris landmark 332 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_333_X,float,Face/Iris landmark 333 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_333_Y,float,Face/Iris landmark 333 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_333_Z,float,"Face/Iris landmark 333 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_334_X,float,Face/Iris landmark 334 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_334_Y,float,Face/Iris landmark 334 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_334_Z,float,"Face/Iris landmark 334 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_335_X,float,Face/Iris landmark 335 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_335_Y,float,Face/Iris landmark 335 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_335_Z,float,"Face/Iris landmark 335 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_336_X,float,Face/Iris landmark 336 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_336_Y,float,Face/Iris landmark 336 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_336_Z,float,"Face/Iris landmark 336 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_337_X,float,Face/Iris landmark 337 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_337_Y,float,Face/Iris landmark 337 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_337_Z,float,"Face/Iris landmark 337 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_338_X,float,Face/Iris landmark 338 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_338_Y,float,Face/Iris landmark 338 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_338_Z,float,"Face/Iris landmark 338 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_339_X,float,Face/Iris landmark 339 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_339_Y,float,Face/Iris landmark 339 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_339_Z,float,"Face/Iris landmark 339 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_340_X,float,Face/Iris landmark 340 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_340_Y,float,Face/Iris landmark 340 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_340_Z,float,"Face/Iris landmark 340 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_341_X,float,Face/Iris landmark 341 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_341_Y,float,Face/Iris landmark 341 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_341_Z,float,"Face/Iris landmark 341 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_342_X,float,Face/Iris landmark 342 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_342_Y,float,Face/Iris landmark 342 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_342_Z,float,"Face/Iris landmark 342 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_343_X,float,Face/Iris landmark 343 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_343_Y,float,Face/Iris landmark 343 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_343_Z,float,"Face/Iris landmark 343 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_344_X,float,Face/Iris landmark 344 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_344_Y,float,Face/Iris landmark 344 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_344_Z,float,"Face/Iris landmark 344 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_345_X,float,Face/Iris landmark 345 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_345_Y,float,Face/Iris landmark 345 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_345_Z,float,"Face/Iris landmark 345 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_346_X,float,Face/Iris landmark 346 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_346_Y,float,Face/Iris landmark 346 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_346_Z,float,"Face/Iris landmark 346 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_347_X,float,Face/Iris landmark 347 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_347_Y,float,Face/Iris landmark 347 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_347_Z,float,"Face/Iris landmark 347 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_348_X,float,Face/Iris landmark 348 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_348_Y,float,Face/Iris landmark 348 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_348_Z,float,"Face/Iris landmark 348 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_349_X,float,Face/Iris landmark 349 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_349_Y,float,Face/Iris landmark 349 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_349_Z,float,"Face/Iris landmark 349 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_350_X,float,Face/Iris landmark 350 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_350_Y,float,Face/Iris landmark 350 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_350_Z,float,"Face/Iris landmark 350 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_351_X,float,Face/Iris landmark 351 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_351_Y,float,Face/Iris landmark 351 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_351_Z,float,"Face/Iris landmark 351 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_352_X,float,Face/Iris landmark 352 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_352_Y,float,Face/Iris landmark 352 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_352_Z,float,"Face/Iris landmark 352 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_353_X,float,Face/Iris landmark 353 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_353_Y,float,Face/Iris landmark 353 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_353_Z,float,"Face/Iris landmark 353 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_354_X,float,Face/Iris landmark 354 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_354_Y,float,Face/Iris landmark 354 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_354_Z,float,"Face/Iris landmark 354 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_355_X,float,Face/Iris landmark 355 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_355_Y,float,Face/Iris landmark 355 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_355_Z,float,"Face/Iris landmark 355 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_356_X,float,Face/Iris landmark 356 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_356_Y,float,Face/Iris landmark 356 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_356_Z,float,"Face/Iris landmark 356 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_357_X,float,Face/Iris landmark 357 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_357_Y,float,Face/Iris landmark 357 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_357_Z,float,"Face/Iris landmark 357 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_358_X,float,Face/Iris landmark 358 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_358_Y,float,Face/Iris landmark 358 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_358_Z,float,"Face/Iris landmark 358 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_359_X,float,Face/Iris landmark 359 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_359_Y,float,Face/Iris landmark 359 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_359_Z,float,"Face/Iris landmark 359 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_360_X,float,Face/Iris landmark 360 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_360_Y,float,Face/Iris landmark 360 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_360_Z,float,"Face/Iris landmark 360 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_361_X,float,Face/Iris landmark 361 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_361_Y,float,Face/Iris landmark 361 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_361_Z,float,"Face/Iris landmark 361 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_362_X,float,Face/Iris landmark 362 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_362_Y,float,Face/Iris landmark 362 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_362_Z,float,"Face/Iris landmark 362 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_363_X,float,Face/Iris landmark 363 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_363_Y,float,Face/Iris landmark 363 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_363_Z,float,"Face/Iris landmark 363 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_364_X,float,Face/Iris landmark 364 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_364_Y,float,Face/Iris landmark 364 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_364_Z,float,"Face/Iris landmark 364 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_365_X,float,Face/Iris landmark 365 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_365_Y,float,Face/Iris landmark 365 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_365_Z,float,"Face/Iris landmark 365 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_366_X,float,Face/Iris landmark 366 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_366_Y,float,Face/Iris landmark 366 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_366_Z,float,"Face/Iris landmark 366 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_367_X,float,Face/Iris landmark 367 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_367_Y,float,Face/Iris landmark 367 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_367_Z,float,"Face/Iris landmark 367 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_368_X,float,Face/Iris landmark 368 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_368_Y,float,Face/Iris landmark 368 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_368_Z,float,"Face/Iris landmark 368 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_369_X,float,Face/Iris landmark 369 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_369_Y,float,Face/Iris landmark 369 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_369_Z,float,"Face/Iris landmark 369 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_370_X,float,Face/Iris landmark 370 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_370_Y,float,Face/Iris landmark 370 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_370_Z,float,"Face/Iris landmark 370 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_371_X,float,Face/Iris landmark 371 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_371_Y,float,Face/Iris landmark 371 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_371_Z,float,"Face/Iris landmark 371 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
Landmark_372_X,float,Face/Iris landmark 372 X coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_372_Y,float,Face/Iris landmark 372 Y coordinate (normalized 0-1),-,0.0 to 1.0,0.0 if not detected
Landmark_372_Z,float,"Face/Iris landmark 372 Z coordinate (depth, relative scale)",-,real,0.0 if not detected
